iter	Passed	Remaining
0	175	5262211	349	52129
2	524	51971
3	772	57144
4	1023	6037655	1264	6196966	1476	6181077	1642	5994588	1808	5846999	2024	58714110	2223	58414111	2401	57624112	2604	57497113	2817	5756714	3016	57313
15	3217	57109
116	3368	56069117	3538	55433118	3689	5456319	3886	54408
220	4051	53821221	4273	5400322	4452	53624
23	4657	53556
224	4873	53606225	5066	53395226	5237	5296127	5404	52499
228	5574	5209329	5740	51663
30	5921	51379
31	6069	50835
332	6240	50490333	6433	5033334	6616	50096
35	6798	49854
36	6923	49211
37	7098	48941
38	7301	48861
39	7509	48811
40	7670	48457
41	7830	48101
42	7995	47789
43	8132	47315
44	8318	47139
45	8481	46835
46	8704	46853
47	8862	46526
48	9023	46220
49	9215	46075
50	9371	45754
51	9530	45452
52	9708	45245
53	9863	44932
54	10051	44775
55	10220	44531
56	10383	44267
57	10567	44090
58	10747	43901
59	10913	43653
60	11096	43476
61	11315	43437
62	11492	43233
63	11673	43047
64	11839	42803
65	11993	42521
66	12176	42343
67	12349	42133
68	12479	41778
69	12606	41422
70	12788	41247
71	12962	41047
72	13130	40829
73	13334	40725
74	13485	40455
75	13665	40278
76	13930	40345
77	14433	41080
78	14962	41858
79	15193	41781
80	15446	41762
81	15544	41326
82	15645	40905
83	15741	40478
84	15830	40042
85	15931	39644
86	16022	39227
87	16109	38809
88	16201	38410
89	16296	38026
90	16394	37654
91	16488	37278
92	16582	36910
93	16682	36558
94	16779	36207
95	16872	35853
96	16969	35514
97	17068	35182
98	17158	34837
99	17268	34537
100	17356	34197
101	17451	33875
102	17540	33547
103	17640	33245
104	17745	32956
105	17843	32656
106	17949	32375
107	18039	32070
108	18139	31785
109	18250	31523
110	18353	31250
111	18443	30958
112	18543	30687
113	18646	30423
114	18749	30162
115	18838	29882
116	18933	29613
117	19029	29351
118	19113	29071
119	19203	28804
120	19298	28548
121	19381	28278
122	19471	28019
123	19562	27766
124	19650	27510
125	19736	27255
126	19827	27009
127	19922	26771
128	20022	26541
129	20126	26318
130	20216	26080
131	20328	25872
132	20428	25650
133	20524	25425
134	20616	25197
135	20716	24981
136	20804	24752
137	20905	24541
138	20991	24314
139	21076	24087
140	21159	23861
141	21250	23645
142	21348	23438
143	21437	23224
144	21543	23028
145	21643	22829
146	21750	22638
147	21853	22444
148	21951	22246
149	22047	22047
150	22136	21843
151	22226	21641
152	22318	21443
153	22402	21239
154	22493	21042
155	22583	20846
156	22705	20680
157	22814	20504
158	22918	20323
159	23006	20130
160	23103	19946
161	23200	19763
162	23300	19583
163	23390	19397
164	23483	19214
165	23567	19024
166	23657	18840
167	23744	18656
168	23836	18476
169	23923	18294
170	24011	18114
171	24090	17927
172	24185	17754
173	24277	17580
174	24365	17403
175	24456	17230
176	24542	17054
177	24638	16887
178	24715	16707
179	24816	16544
180	24913	16379
181	25003	16211
182	25098	16046
183	25188	15879
184	25285	15718
185	25392	15563
186	25480	15397
187	25569	15233
188	25663	15072
189	25748	14906
190	25842	14747
191	25932	14587
192	26019	14425
193	26113	14268
194	26204	14110
195	26290	13949
196	26377	13791
197	26465	13633
198	26551	13476
199	26648	13324
200	26781	13190
201	26924	13062
202	27079	12939
203	27225	12812
204	27327	12664
205	27465	12532
206	27561	12382
207	27683	12244
208	27783	12097
209	27891	11953
210	27988	11805
211	28101	11664
212	28201	11518
213	28292	11369
214	28481	11260
215	28631	11134
216	28747	10995
217	28840	10848
218	28956	10709
219	29066	10569
220	29172	10428
221	29271	10284
222	29363	10139
223	29455	9993
224	29548	9849
225	29653	9709
226	29754	9568
227	29851	9426
228	29941	9283
229	30033	9140
230	30125	8998
231	30216	8856
232	30310	8715
233	30407	8576
234	30515	8440
235	30601	8298
236	30697	8160
237	30790	8020
238	30877	7880
239	30982	7745
240	31086	7610
241	31206	7479
242	31332	7349
243	31462	7221
244	31556	7084
245	31670	6952
246	31769	6816
247	31894	6687
248	32011	6556
249	32136	6427
250	32323	6310
251	32467	6184
252	32594	6055
253	32766	5934
254	32927	5810
255	33041	5679
256	33174	5550
257	33368	5432
258	33540	5309
259	33658	5178
260	33784	5048
261	33893	4915
262	34028	4787
263	34163	4658
264	34277	4527
265	34391	4395
266	34531	4267
267	34653	4137
268	34823	4013
269	34953	3883
270	35068	3752
271	35169	3620
272	35272	3488
273	35381	3357
274	35495	3226
275	35582	3094
276	35685	2963
277	35761	2830
278	35852	2698
279	35952	2568
280	36046	2437
281	36115	2305
282	36192	2174
283	36261	2042
284	36332	1912
285	36395	1781
286	36467	1651
287	36547	1522
288	36607	1393
289	36674	1264
290	36757	1136
291	36826	1008
292	36900	881
293	36959	754
294	37023	627
295	37084	501
296	37191	375
297	37246	249
298	37284	124
299	37324	0
